date,close,high,low,open,quoteVolume,volume,weightedAverage
1575158400,0.00052299,0.00052397,0.000519,0.0005225,745.7926008,0.38854666,0.00052098
1575160200,0.0005235,0.0005237,0.00052299,0.000523,123.11225371,0.06444498,0.00052346
1575162000,0.00052399,0.000524,0.00052124,0.00052154,275.54211062,0.14377882,0.0005218
1575163800,0.00052599,0.00052649,0.00052301,0.00052301,446.03361543,0.23434787,0.0005254
1575165600,0.00052645,0.00052893,0.0005177,0.00052407,4476.93975134,2.34758013,0.00052437
1575167400,0.00052649,0.00052649,0.00052451,0.00052513,686.35854426,0.36112708,0.00052614
1575169200,0.00052966,0.00052966,0.00052649,0.00052649,640.55826871,0.3386277,0.00052864
1575171000,0.00052644,0.00052824,0.00052644,0.00052731,935.0187795,0.49290734,0.00052716
1575172800,0.00052783,0.00052783,0.00052649,0.00052649,557.82746826,0.29413394,0.00052728
1575174600,0.00052599,0.00052749,0.00052135,0.00052709,5274.85671463,2.75815454,0.00052288
1575176400,0.00052735,0.00052748,0.0005264,0.0005264,207.80885158,0.10950072,0.00052693
1575178200,0.00052881,0.00052929,0.00052735,0.0005275,623.91068066,0.32986144,0.00052869
1575180000,0.0005275,0.00052948,0.00052649,0.00052825,182.30435808,0.09641934,0.00052889
1575181800,0.0005275,0.00052824,0.00052745,0.00052745,232.2114722,0.12261879,0.00052804
1575183600,0.00052823,0.00052823,0.00052799,0.00052799,334.9,0.17683993,0.00052803
1575185400,0.00052824,0.00052824,0.00052706,0.00052706,113.27901284,0.05982145,0.00052808
1575187200,0.00052949,0.00053,0.00052825,0.00052998,192.59056075,0.10189133,0.00052905
1575189000,0.00052798,0.0005295,0.00052798,0.00052837,166.68496063,0.0880516,0.00052825
1575190800,0.000526,0.00052749,0.000526,0.00052734,63.18912034,0.03328087,0.00052668
1575192600,0.00052824,0.00053,0.00052799,0.00052799,505.74501416,0.26733015,0.00052858
1575194400,0.00052796,0.00052935,0.00052715,0.00052717,342.69092265,0.18106644,0.00052836
1575196200,0.0005265,0.00052899,0.00052649,0.00052729,119.37217581,0.06302618,0.00052798
1575198000,0.00052698,0.00052699,0.00052649,0.00052649,64.81630372,0.03412685,0.00052651
1575199800,0.000528,0.000528,0.00052741,0.000528,272.93522185,0.14402849,0.0005277
1575201600,0.00052998,0.00052999,0.00052839,0.00052839,292.18509608,0.15466129,0.00052932
1575203400,0.00052948,0.00053047,0.00052825,0.00052938,73.80746877,0.03911353,0.00052994
1575205200,0.00053045,0.00053045,0.00052858,0.00052949,179.72672035,0.09525884,0.00053002
1575207000,0.00053445,0.000538,0.00053039,0.00053044,1477.77771305,0.78914153,0.000534
1575208800,0.00053194,0.00053449,0.00053187,0.0005335,405.51320307,0.21598582,0.00053262
1575210600,0.00053349,0.00053349,0.000532,0.000532,125.0250785,0.06663989,0.00053301
1575212400,0.00053449,0.00053449,0.00053349,0.00053349,210.82555709,0.11251677,0.00053369
1575214200,0.00053417,0.00053524,0.00053409,0.00053449,4.39847968,0.00235405,0.00053519
1575216000,0.00053551,0.00053698,0.00053474,0.00053524,276.84756559,0.14840591,0.00053605
1575217800,0.00053524,0.00053799,0.00053451,0.00053501,963.43350162,0.51620477,0.00053579
1575219600,0.00053525,0.00053601,0.00053525,0.000536,256.46088038,0.13742632,0.00053585
1575221400,0.00053526,0.00053533,0.00053526,0.00053526,14.94043772,0.00799771,0.0005353
1575223200,0.00053527,0.00053527,0.00053526,0.00053526,29.05341886,0.01555117,0.00053526
1575225000,0.00053437,0.00053527,0.00053403,0.00053527,175.04085715,0.09353476,0.00053435
1575226800,0.00053635,0.00053699,0.00053427,0.00053427,82.32498749,0.04404746,0.00053504
1575228600,0.0005319,0.00053699,0.0005319,0.00053654,213.20222166,0.11411853,0.00053525
1575230400,0.00053252,0.00053399,0.00053191,0.00053191,378.95126904,0.20194044,0.00053289
1575232200,0.00053199,0.00053199,0.00053197,0.00053197,37.05162215,0.01971035,0.00053197
1575234000,0.000535,0.00053524,0.00053237,0.00053399,366.63591346,0.19602327,0.00053465
1575235800,0.00053349,0.000535,0.00053349,0.000535,93.56769215,0.04999083,0.00053427
1575237600,0.000536,0.000536,0.00053183,0.0005319,173.24719439,0.09275171,0.00053537
1575239400,0.000536,0.0005365,0.00053501,0.00053599,125.34471895,0.0672291,0.00053635
1575241200,0.00053349,0.00053401,0.00053349,0.00053401,2.96272909,0.00158101,0.00053363
1575243000,0.0005325,0.00053426,0.00053051,0.00053426,322.67833756,0.17176855,0.00053232
1575244800,0.00053298,0.00053299,0.0005315,0.0005315,113.23843096,0.06035269,0.00053297
